"gene_id","symbol"
13859,"Eps15l1"
13866,"Erbb2"
13867,"Erbb3"
13869,"Erbb4"
13870,"Ercc1"
13871,"Ercc2"
13872,"Ercc3"
13874,"Ereg"
13884,"Ces1c"
13885,"Esd"
13897,"Ces1e"
13982,"Esr1"
13983,"Esr2"
13984,"Esx1"
13990,"Smarcad1"
14000,"Drosha"
14013,"Mecom"
14026,"Evl"
14042,"Ext1"
14043,"Ext2"
14055,"Ezh1"
14056,"Ezh2"
14058,"F10"
14060,"F13b"
14061,"F2"
14062,"F2r"
14063,"F2rl1"
14064,"F2rl2"
14065,"F2rl3"
14066,"F3"
14067,"F5"
14068,"F7"
14069,"F8"
14071,"F9"
14073,"Faah"
14077,"Fabp3"
14079,"Fabp2"
14080,"Fabp1"
14081,"Acsl1"
14082,"Fadd"
14083,"Ptk2"
14084,"Faf1"
14085,"Fah"
14102,"Fas"
14103,"Fasl"
14104,"Fasn"
14105,"Srsf10"
14109,"Fau"
14113,"Fbl"
14118,"Fbn1"
14120,"Fbp2"
14121,"Fbp1"
14125,"Fcer1a"
14126,"Ms4a2"
14127,"Fcer1g"
14128,"Fcer2a"
14129,"Fcgr1"
14130,"Fcgr2b"
14131,"Fcgr3"
14137,"Fdft1"
14151,"Fech"
14156,"Fen1"
14158,"Fer"
14159,"Fes"
14160,"Lgr5"
14161,"Fga"
14163,"Fgd1"
14164,"Fgf1"
14165,"Fgf10"
14170,"Fgf15"
14171,"Fgf17"
14172,"Fgf18"
14173,"Fgf2"
14174,"Fgf3"
14175,"Fgf4"
14176,"Fgf5"
14177,"Fgf6"
14178,"Fgf7"
14179,"Fgf8"
14180,"Fgf9"
14182,"Fgfr1"
14183,"Fgfr2"
14184,"Fgfr3"
14186,"Fgfr4"
14187,"Akr1b8"
14191,"Fgr"
14194,"Fh1"
14198,"Fhit"
14199,"Fhl1"
14200,"Fhl2"
14204,"Il4i1"
14205,"Vegfd"
14219,"Ccn2"
14228,"Fkbp4"
14229,"Fkbp5"
14235,"Foxm1"
14245,"Lpin1"
14251,"Flot1"
14252,"Flot2"
14254,"Flt1"
14255,"Flt3"
14256,"Flt3l"
14257,"Flt4"
14261,"Fmo1"
14262,"Fmo3"
14263,"Fmo5"
14264,"Fmod"
14265,"Fmr1"
14268,"Fn1"
14270,"Srgap2"
14272,"Fnta"
14275,"Folr1"
14276,"Folr2"
14281,"Fos"
14282,"Fosb"
14283,"Fosl1"
14284,"Fosl2"
14287,"Fpgs"
14289,"Fpr2"
14290,"Fpr-rs3"
14291,"Fpr-rs4"
14293,"Fpr1"
14294,"Fpr3"
14296,"Frat1"
14297,"Fxn"
14308,"Fshb"
14309,"Fshr"
14313,"Fst"
14317,"Ftcd"
14319,"Fth1"
14325,"Ftl1"
14343,"Fut1"
14344,"Fut2"
14345,"Fut4"
14347,"Fut7"
14348,"Fut9"
14357,"Dtx1"
14359,"Fxr1"
14360,"Fyn"
14362,"Fzd1"
14365,"Fzd3"
14366,"Fzd4"
14367,"Fzd5"
14368,"Fzd6"
14369,"Fzd7"
14370,"Fzd8"
14371,"Fzd9"
14375,"Xrcc6"
14376,"Ganab"
14377,"G6pc"
14378,"G6pc2"
14380,"G6pd2"
14381,"G6pdx"
14385,"Slc37a4"
14387,"Gaa"
14388,"Gab1"
14389,"Gab2"
14394,"Gabra1"
14395,"Gabra2"
14396,"Gabra3"
14397,"Gabra4"
14399,"Gabra6"
14400,"Gabrb1"
14401,"Gabrb2"
14402,"Gabrb3"
14403,"Gabrd"
14404,"Gabre"
14405,"Gabrg1"
14406,"Gabrg2"
14407,"Gabrg3"
14408,"Gabrr1"
14409,"Gabrr2"
14411,"Slc6a12"
14412,"Slc6a13"
14415,"Gad1"
14417,"Gad2"
14419,"Gal"
14420,"Galc"
14421,"B4galnt1"
14423,"Galnt1"
14425,"Galnt3"
14426,"Galnt4"
14427,"Galr1"
14428,"Galr2"
14429,"Galr3"
14430,"Galt"
14431,"Gamt"
14433,"Gapdh"
14447,"Gapdhs"
14450,"Gart"
14451,"Gas1"
14456,"Gas6"
14459,"Gast"
14462,"Gata3"
14463,"Gata4"
14466,"Gba"
14468,"Gbp2b"
14469,"Gbp2"
14479,"Usp15"
14526,"Gcg"
14527,"Gcgr"
14528,"Gch1"
14531,"Gcm1"
14534,"Kat2a"
14537,"Gcnt1"
14538,"Gcnt2"
14544,"Gda"
14555,"Gpd1"
14559,"Gdf1"
14560,"Gdf10"
14561,"Gdf11"
14562,"Gdf3"
14563,"Gdf5"
14566,"Gdf9"
14570,"Arhgdig"
14571,"Gpd2"
14580,"Gfap"
14583,"Gfpt1"
14584,"Gfpt2"
14590,"Ggh"
14593,"Ggps1"
14594,"Ggta1"
14595,"B4galt1"
14598,"Ggt1"
14599,"Gh"
14600,"Ghr"
14601,"Ghrh"
14602,"Ghrhr"
14603,"Cblif"
14607,"Gip"
14608,"Gpr83"
14609,"Gja1"
14617,"Gjd2"
14625,"Gykl1"
14626,"Gk2"
14629,"Gclc"
14630,"Gclm"
14632,"Gli1"
14633,"Gli2"
14634,"Gli3"
14635,"Galk1"
14645,"Glul"
14651,"Hagh"
14652,"Glp1r"
14654,"Glra1"
14658,"Glrb"
14660,"Gls"
14661,"Glud1"
14663,"Glycam1"
14664,"Slc6a9"
14667,"Gm2a"
14672,"Gna11"
14673,"Gna12"
14674,"Gna13"
14675,"Gna14"
14676,"Gna15"
14677,"Gnai1"
14678,"Gnai2"
14679,"Gnai3"
14680,"Gnal"
14681,"Gnao1"
14682,"Gnaq"
14683,"Gnas"
14685,"Gnat1"
14686,"Gnat2"
14688,"Gnb1"
14693,"Gnb2"
14695,"Gnb3"
14696,"Gnb4"
14697,"Gnb5"
14699,"Gngt1"
14700,"Gng10"
14701,"Gng12"
14702,"Gng2"
14704,"Gng3"
14706,"Gng4"
14707,"Gng5"
14708,"Gng7"
14709,"Gng8"
14710,"Gngt2"
14711,"Gnmt"
14712,"Gnpat"
14714,"Gnrh1"
14715,"Gnrhr"
14718,"Got1"
14719,"Got2"
14723,"Gp1ba"
14724,"Gp1bb"
14725,"Lrp2"
14728,"Lilrb4a"
14729,"Gp5"
14731,"Gpaa1"
14732,"Gpam"
14735,"Gpc4"
14739,"S1pr2"
14745,"Lpar1"
14751,"Gpi1"
14755,"Pigq"
14756,"Gpld1"
14765,"Gpr50"
14767,"Nmur1"
14772,"Grk4"
14773,"Grk5"
14775,"Gpx1"
14776,"Gpx2"
14778,"Gpx3"
14780,"Gpx5"
14782,"Gsr"
14783,"Grb10"
14784,"Grb2"
14791,"Emg1"
14792,"Lpcat3"
14799,"Gria1"
14800,"Gria2"
14802,"Gria4"
14803,"Grid1"
14804,"Grid2"
14805,"Grik1"
14806,"Grik2"
14807,"Grik3"
14809,"Grik5"
14810,"Grin1"
14811,"Grin2a"
14812,"Grin2b"
14813,"Grin2c"
14814,"Grin2d"
14815,"Nr3c1"
14816,"Grm1"
14823,"Grm8"
14825,"Cxcl1"
14827,"Pdia3"
14828,"Hspa5"
