Cell Type,NO.,Group 0,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9
dense_37,2,akap3 lgi3 nanp cbln3 gng2 dnajb7 ap3s1 slc6a14 grin1 apol6 acvrl1 ndrg1 efcab2 myo1e tmsb10 ccdc42 qrfp she wfdc5 dmrta2 aif1l tspan8 sla hist1h1b htatip2 il18bp scarb2 kctd4 eif4ebp3 tspan1 cyc1 evx2 crygc eomes trmt5 cd3g ido1 spire2 lag3 rbp2 arhgap31 ptgir batf3 immp2l tnfsf11 card9 slco4a1 srp14 ift122 ticam2 gpr4 nms vcl dok7 vrk1 ubr1 dnlz oxsm tmem54 ppl rgma mbd4 acsbg1 crip1 bcl6 dock8 hook1 fabp3 dlgap3 efhd2 hist1h4b efs dpysl4 p2ry6 igsf1 slc22a4 prep myl7 traf3ip3 slc17a9 myh9 rps6kb2 pde7a krtap17-1 hsd17b11 tmprss2 krt18 ntrk2 eps8l1 amph tjp2 rbm39 rufy4 nudt15 cnga3 limk2 rpap3 fgfr2 ppcs ankmy1 rbl1 zfat ssh2 plaur rhpn1 klhl3 hrk fam131c hdac9 ostm1 clic5 txn2 klhl36 tbcd paqr3 nmral1 arhgef10 slc12a3 myo7a ubxn11 hist1h4d eps15 ing2 smek2 hnf1b psd slc17a7 samm50 ndufv2 ctsz slc17a5 crygb ttc1 pofut1 myo1g sgta rasgrf1 wfikkn2 pik3cg mrpl16 hs3st3b1 tifa hspe1 lsm12 poldip2 fmnl1 adam2 jrkl zbtb33 gsta4 sun2 gin1 gja1 brix1 gaa prss35 mip sgk3 hist1h1d bach2 ttll5 n4bp3 recql prpsap2 gnaq snap47 atrip c1ql4 myl12b efna3 setmar haus5 poc1b slc31a1 ogdh rad18 atp6v1g1 hist1h4c appl1 klf1 fam122b ftsj1 ngdn man2b1 jtb prkaa1 ccdc134 mettl4 tubg1 pola1
dense_36,2,wfdc5 rufy4 htatip2 nanp akap3 tspan8 dnajb7 sla crygc slco4a1 kctd4 ccdc42 nms cbln3 cd3g gng2 aif1l rasgrf1 lgi3 fabp3 efhd2 srp14 tspan1 arhgap15 dmrta2 myo1g fgfr2 qrfp hcls1 crygb slc6a14 hs3st3b1 psmd13 eomes apcdd1 dock8 hist1h1b ptgir batf apol6
dense_35,2,jrkl akap3 she acvrl1 hrk dok7 traf3ip3 spire2 ap3s1 card9 oxsm ifi44 evx2 ido1 myo1e gpr137c gabpb2 il18bp dpysl4 gpr132 nms samd8 eps8l1 tnfsf11 ftsj1 dlgap3 trmt5 flrt3 snx12 lgi3 arhgap31 grin1 dnlz hoxc4 kcnn4 prdm10 slc17a7 kif13a sostdc1 tslp immp2l ppp1r14c slc17a9 ubxn11 slc25a22 tet2 egr3 tcte1 rgma zfyve28 ntrk2 ndrg1 fam131c nmral1 aif1l paqr3 rps6kb2 peli3 krt14 spag7 mamdc4 ttc9 il7r otop2 myl7 hook1 ing2 aldoa gripap1 cxcl2 pak6 slc15a3 rnh1 skap2 dusp6 sun2
dense_31,2,wfdc5 evx2 tspan1
dense_27,2,acvrl1 dok7 akap3 ido1 il18bp jrkl card9 hrk gpr132 apol6 slc17a9 traf3ip3 myo1e dnlz flrt3 samd8 dpysl4 ap3s1 gabpb2 lag3 nanp tifa gpr137c eif4ebp3 evx2 mip grin1 hoxc4 she anxa1 ifi44 paqr3 slamf9 nms ccl3 tram1l1 tslp
dense_23,2,wfdc5 htatip2 rufy4 slc12a3 tspan1 wfikkn2 mxra7 noxa1 evx2 tspan8 crygc gng2 crygb athl1 gp2 btd rorc klc1 tmem25 rasgrf1 pcsk6 icam2 dnajc16 h6pd slc6a14 rrm2 cbln3 hrct1 dnajb8 ptcd3 cog5 sfxn5 hsd17b11 mrps35 prlhr psmd4 psmc1 qrfp kdelc2
dense_22,2,akap3 lgi3 ap3s1 samd8 she grin1 trmt5 hist1h1b ttll5 hs3st3b1 hnrnpa0 acvrl1 evx2 eif4ebp3 rbp2 apol6 capns1 itk
dense_21,2,akap3 heyl jrkl sostdc1 acvrl1 tspan2 klc1 traf3ip3 hoxc4 otop2 samd8 dchs1 card9 il18bp galr2 hist1h1b ifi44 hpca fst lsr dkk1 birc7 cobll1 cplx2 nr4a3
dense_15,2,evx2 akap3 wfdc5 rufy4 myl2 wfikkn2 jrkl ctnna1 trpc6 trmt5 noxa1 acvrl1 ido1 pcsk6 gp2
dense_13,2,akap3 dok7 acvrl1 ido1 il18bp jrkl traf3ip3 otop2 dpysl4 hoxc4 card9 oxsm sostdc1 egr3 gabpb2 hpca slc17a9 arhgap31 samd8 evx2 gpr132 grin1 eps8l1 syt13 peli3 bcl6 heyl trmt5 hrk ifi44 she spire2 apol6 immp2l tcte1 tspan2 anxa1 nms metrnl myo1e tslp ppp2r5d rps6kb2 ptprg nanp lpar4 sec24d wnt11 spag7 lag3 prdm10 gpr4 ppl ap1s2 pros1 fam131c nmral1 taf7l lgi3 tram1l1 gpr137c stag1 mip paqr3 fam101a ftsj1 zscan18 ubxn11 kcnn4 smek2 ntrk2 ttc9 atg2b cyc1 rala dse serpinh1 ccr5 sp8 hist1h1b cxcl2 gripap1 tnfsf11 dkk1 zfp37 slc17a7 tmem54 zcwpw1 pdia4 fbxo44 trpc6 tet2 leprotl1 zfp91 tyro3 fam129a agpat3 mbtps1 ppp1r14c pth1r n4bp3 cdk9 tbc1d5 dhx35 tgfb1i1 myl2 rbbp5 gdf11 efhd2 neurl4 flrt3 pstk mettl4 ccnc esyt2 ccl3 gns dyrk1a dlx6 ankrd54 nars2 cd164 birc7 abhd5 itpkb slamf9 npr1
